N_A,N_B,cost_yuan,p_self_lower,p_total_necessary_upper
1,25,0.05673192733607569,0.731400791873575,0.7314070373412602
0,32,0.053616514621265814,0.7291807959985819,0.7291901878593434
4,3,0.06440264939859075,0.7270335277831848,0.7270340725056794
3,10,0.061287236683780874,0.7247774360896919,0.7247791472743135
2,17,0.058171823968971005,0.7225026976016382,0.7225062264564817
1,24,0.05505641125416113,0.7202091582016407,0.7202151697945085
0,31,0.05194099853935126,0.7178966624985228,0.7179058359560119
4,2,0.06272713331667619,0.7156599247741506,0.7156603494373575
3,9,0.05961172060186632,0.7133098292600957,0.7133113532848193
2,16,0.05649630788705645,0.7109403100017064,0.7109436101979246
1,23,0.053380895172246576,0.7085512064600423,0.7085569740596438
0,30,0.0502654824574367,0.7061423567692946,0.706151297633325
4,1,0.061051617234761636,0.7038124216397403,0.7038127360467145
3,8,0.05793620451995177,0.7013644054792664,0.7013657446346397
2,15,0.05482079180514189,0.6988961562517775,0.6988992235708076
1,22,0.051705379090332015,0.6964075067292108,0.6964130206340585
0,29,0.048589966375522146,0.6938982883013485,0.6939069824368194
4,0,0.05937610115284708,0.6914712725413961,0.6914714883974629
3,7,0.05626068843803721,0.6889212557075691,0.6889224136812788
2,14,0.05314527572322733,0.6863501627622682,0.6863529939167425
1,21,0.05002986300841746,0.6837578195095946,0.6837630705235661
0,28,0.046914450293607586,0.6811440503139046,0.6811524837062986
3,6,0.05458517235612265,0.6759596413620512,0.6759606233886108
2,13,0.05146975964131278,0.6732814195440293,0.6732840123001256
1,20,0.0483543469265029,0.670581061989161,0.67058604151807
0,27,0.04523893421169303,0.6678583857436506,0.667866544571426
3,5,0.05290965627420809,0.6624579597521366,0.6624587727741992
2,12,0.049794243559398224,0.6596681453583639,0.6596704986683133
1,19,0.04667883084458835,0.656855272905376,0.6568599730623021
0,26,0.04356341812977847,0.6540191518163028,0.654027022530707
3,4,0.05123414019229354,0.6483937080751423,0.6483943609172073
2,11,0.048118727477483664,0.6454876514149623,0.6454897655604221
1,18,0.04500331476267379,0.6425575759430999,0.6425619896631087
0,25,0.04188790204786392,0.639603283141982,0.6396108525548461
3,3,0.04955862411037898,0.6337434459116066,0.6337439494669481
2,10,0.0464432113955691,0.6307163035572525,0.6307181803042818
1,17,0.043327798680759234,0.6276641416073958,0.6276682627723158
0,24,0.04021238596594936,0.6245867532728979,0.6245940086530077
3,2,0.047883108028464426,0.6184827561579235,0.6184831235896087
2,9,0.04476769531365455,0.6153294828721381,0.615331125638573
1,16,0.04165228259884468,0.6121501475077039,0.6121539710816752
0,23,0.038536869884034805,0.6089445346592687,0.6089514638379501
3,1,0.046207591946549866,0.6025862043311703,0.6025864512880945
2,8,0.04309217923174,0.5993015446584771,0.5993029586945408
1,15,0.03997676651693012,0.5959897369871916,0.5959932591637414
0,22,0.036861353802120245,0.5926505569367382,0.5926571484233325
3,0,0.04453207586463531,0.5860272961783024,0.5860274410272217
2,7,0.041416663149825436,0.5826057756859135,0.5826069682689556
1,14,0.03830125043501556,0.5791559760283245,0.5791591943897736
0,21,0.03518583772020569,0.575677663475769,0.5756839065837192
2,6,0.03974114706791088,0.5652143496728266,0.5652153303171351
1,13,0.03662573435310101,0.561620808362838,0.5616237220528959
0,20,0.03351032163829113,0.5579975661205926,0.5580034511049072
2,5,0.03806563098599632,0.5470982809091944,0.5470990615918865
1,12,0.03495021827118645,0.5433550087112896,0.5433576186217419
0,19,0.03183480555637658,0.539580798042284,0.5395863162491927
2,4,0.03639011490408177,0.5282273759470775,0.528227971351132
1,11,0.03327470218927189,0.5243281340742599,0.5243304430467186
0,18,0.03015928947446202,0.5203966646273791,0.5204018086570519
2,3,0.03471459882216721,0.5085701832782057,0.5085706110537673
1,10,0.03159918610735733,0.5045084729940208,0.504510486037755
0,17,0.028483773392547464,0.5004131923201866,0.5004179562034337
2,2,0.033039082740252655,0.48809394091479763,0.4880942219599509
1,9,0.02992367002544278,0.483862992702105,0.48386471722904556
0,16,0.026808257310632907,0.4795970753335276,0.4796014547234647
2,1,0.031363566658338095,0.4667645217862475,0.4667646805485297
1,8,0.028248153943528226,0.4623572840646927,0.4623587301427614
0,15,0.02513274122871835,0.4579136201390912,0.45791761251881136
2,0,0.02968805057642354,0.44454637686067444,0.44454644166067436
