N_A,N_B,cost_yuan,p_self_lower
3,39,0.10987720305930303,0.9157539020889631
3,40,0.11155271914121757,0.9191237460054047
3,41,0.11322823522313213,0.9223587961651885
3,42,0.1149037513050467,0.9254644443185809
3,43,0.11657926738696126,0.9284458665458377
3,44,0.1182547834688758,0.9313080318840041
3,45,0.11993029955079036,0.934055710608644
3,46,0.12160581563270492,0.9366934821842983
3,47,0.12328133171461948,0.9392257428969263
3,48,0.12495684779653403,0.9416567131810493
3,49,0.1266323638784486,0.9439904446538073
3,50,0.12830787996036314,0.946230826867655
3,51,0.1299833960422777,0.9483815937929488
3,52,0.13165891212419226,0.9504463300412309
3,53,0.1333344282061068,0.9524284768395817
3,54,0.13500994428802138,0.9543313377659984
3,55,0.13668546036993592,0.9561580842553584
3,56,0.13836097645185047,0.9579117608851441
3,57,0.14003649253376504,0.9595952904497383
3,58,0.14171200861567962,0.9612114788317488
3,59,0.14338752469759414,0.9627630196784789
3,60,0.1450630407795087,0.9642524988913397
3,61,0.14673855686142329,0.9656823989356861
3,62,0.14841407294333783,0.9670551029782587
3,63,0.15008958902525238,0.9683728988591284
3,64,0.15176510510716695,0.9696379829047632
3,65,0.1534406211890815,0.9708524635885727
3,66,0.15511613727099605,0.9720183650450298
3,67,0.15679165335291062,0.9731376304432285
3,68,0.15846716943482517,0.9742121252254994
3,69,0.1601426855167397,0.9752436402164795
3,70,0.1618182015986543,0.9762338946078203
3,71,0.16349371768056883,0.9771845388235074
3,72,0.16516923376248338,0.9780971572705672
3,73,0.16684474984439795,0.9789732709797445
3,74,0.1685202659263125,0.9798143401405547
3,75,0.17019578200822708,0.9806217665349325
3,76,0.17187129809014162,0.9813968958735352
3,77,0.17354681417205617,0.9821410200385938
3,78,0.17522233025397074,0.98285537923705
3,79,0.1768978463358853,0.9835411640675681
3,80,0.17857336241779984,0.9841995175048653
4,0,0.05937610115284708,0.6914712725413961
4,1,0.061051617234761636,0.7038124216397403
4,2,0.06272713331667619,0.7156599247741506
4,3,0.06440264939859075,0.7270335277831848
4,4,0.06607816548050531,0.7379521866718572
4,5,0.06775368156241987,0.7484340992049829
4,6,0.06942919764433442,0.7584967352367837
4,7,0.07110471372624898,0.7681568658273124
4,8,0.07278022980816354,0.7774305911942199
4,9,0.0744557458900781,0.7863333675464511
4,10,0.07613126197199264,0.7948800328445931
4,11,0.0778067780539072,0.8030848315308093
4,12,0.07948229413582177,0.810961438269577
4,13,0.08115781021773633,0.8185229807387939
4,14,0.08283332629965087,0.8257820615092422
4,15,0.08450884238156543,0.8327507790488724
4,16,0.08618435846348,0.8394407478869176
4,17,0.08785987454539454,0.8458631179714409
4,18,0.0895353906273091,0.8520285932525833
4,19,0.09121090670922366,0.8579474495224799
4,20,0.0928864227911382,0.8636295515415807
4,21,0.09456193887305278,0.8690843694799175
4,22,0.09623745495496733,0.8743209947007208
4,23,0.09791297103688189,0.879348154912692
4,24,0.09958848711879645,0.8841742287161843
4,25,0.101264003200711,0.8888072595675369
4,26,0.10293951928262556,0.8932549691848355
4,27,0.10461503536454012,0.897524770417442
4,28,0.10629055144645466,0.9016237796007444
4,29,0.10796606752836924,0.9055588284167146
4,30,0.10964158361028378,0.909336475280046
4,31,0.11131709969219834,0.9129630162688441
4,32,0.1129926157741129,0.9164444956180904
4,33,0.11466813185602745,0.9197867157933668
4,34,0.11634364793794201,0.9229952471616322
4,35,0.11801916401985657,0.9260754372751668
4,36,0.11969468010177112,0.9290324197841602
4,37,0.12137019618368568,0.9318711229927937
4,38,0.12304571226560024,0.934596278073082
4,39,0.1247212283475148,0.9372124269501587
4,40,0.12639674442942933,0.9397239298721524
4,41,0.1280722605113439,0.9421349726772663
4,42,0.12974777659325848,0.9444495737701757
4,43,0.13142329267517303,0.9466715908193686
4,44,0.13309880875708757,0.9488047271865939
4,45,0.13477432483900215,0.9508525380991302
4,46,0.1364498409209167,0.952818436575165
4,47,0.13812535700283124,0.9547056991121583
4,48,0.1398008730847458,0.956517471147672
4,49,0.14147638916666036,0.9582567723017651
4,50,0.1431519052485749,0.9599265014096945
4,51,0.14482742133048948,0.9615294413533068
4,52,0.14650293741240403,0.9630682636991745
4,53,0.14817845349431857,0.9645455331512075
4,54,0.14985396957623315,0.9659637118251592
4,55,0.1515294856581477,0.9673251633521528
4,56,0.15320500174006224,0.9686321568180667
4,57,0.15488051782197682,0.9698868705453441
4,58,0.1565560339038914,0.9710913957235303
4,59,0.1582315499858059,0.9722477398945891
4,60,0.15990706606772048,0.9733578302988055
4,61,0.16158258214963506,0.9744235170868533
4,62,0.1632580982315496,0.9754465764033792
4,63,0.16493361431346415,0.976428713347244
4,64,0.16660913039537872,0.9773715648133542
4,65,0.16828464647729327,0.9782767022208201
4,66,0.16996016255920782,0.9791456341319873
4,67,0.1716356786411224,0.9799798087667078
4,68,0.17331119472303694,0.9807806164160394
4,69,0.17498671080495148,0.9815493917593979
4,70,0.17666222688686606,0.9822874160890219
4,71,0.1783377429687806,0.982995919445461
4,72,0.18001325905069515,0.9836760826676426
4,73,0.18168877513260973,0.984329039360937
4,74,0.18336429121452427,0.9849558777864995
4,75,0.18503980729643885,0.9855576426750395
4,76,0.1867153233783534,0.9861353369680379
4,77,0.18839083946026794,0.9866899234893164
4,78,0.1900663555421825,0.9872223265497437
4,79,0.19174187162409706,0.987733433487754
4,80,0.1934173877060116,0.9882240961482438
