sample,d_mm,overlap_deg,ign_btdc_deg,eoi_deg,lambda,combustion_efficiency_scale,friction_scale_multiplier,Vmin_cm3,CR,power_kW,eta_b,BSFC_g_kWh,pmax_MPa,Tmax_K,state_relative_residual,converged
203,143.440896273638,127.32040597278527,17.27159227265433,617.5411761390606,1.0039122683129578,1.0341915904120422,0.9656609687348404,51.76144694887383,8.905439809136746,41.496105186649736,0.32902327371279627,251.52816624727583,3.704893115818868,2777.9859204542413,2.2931808314008098e-07,True
204,138.32479438888825,37.21529989978895,11.438434326458573,590.8773249874715,1.025216787945602,1.0388881816642512,1.0641959104611063,67.62830210154284,7.05067687007348,40.1634677935849,0.29580951537799194,279.76997489044385,3.066459756052142,2954.5872482261043,1.497606451861289e-05,True
205,145.12252097642556,97.55980433365679,15.887385663558943,575.1501981882802,0.9589231412447404,1.0218899600696913,1.0987735625190589,46.52314486752183,9.79555766174807,44.2860049177513,0.32891226725645567,251.6130559068737,4.001118283277037,2853.2489297585303,6.831137107337468e-07,True
206,140.3743963759629,38.62787737743376,15.5565433635287,598.1345090279939,0.9802937988366381,0.9986438051919905,0.9158365431918315,61.28387691046456,7.677074361434114,42.8757240685129,0.30229548156125247,273.7673095946896,3.469770666339287,2961.042778945663,1.1882045451974359e-05,True
207,140.84700329666373,91.98944600959585,15.121277832495457,585.8751675130223,1.1062981633156674,1.0302413288936094,1.0881128260908521,59.818704190881135,7.840619649372574,37.08415916359553,0.30791569111395345,268.77039098026296,3.166385418860202,2670.1319899476453,4.692181862950893e-06,True
208,148.09096276007904,93.39449047788244,12.20411133227948,592.2162828413026,0.9548830144268747,1.0391392534848563,1.0793745162010886,37.2463031939512,11.986244759845068,47.85044782103362,0.34371439093326334,240.77729321995085,4.350687267498809,2902.8127354054586,1.8538015418638698e-05,True
209,140.53533553226387,105.94053640383339,29.587878191373594,600.9977866513216,0.9724678346731448,1.0241696705578263,1.0445887781187353,60.78503085116233,7.731871277487759,45.00455314854711,0.3303711391440428,250.5019684954143,4.316736922614672,3033.3844051517312,2.055300987236979e-06,True
210,136.92473451847448,148.54015665204093,19.751463785987177,613.6270890652269,1.0876952782735787,0.9666949212001863,0.9225292026414632,71.95334065180104,6.686977137980938,32.44922366150311,0.2823974315075826,293.0572712642856,2.7921042241211755,2541.735039520069,1.4033535890490352e-06,True
211,139.31334093014868,139.39975314248187,26.4874377524331,591.441367088743,1.1284540293767833,0.9860581553356775,1.0842428915590818,64.57026066972567,7.337236353763128,34.42661074853544,0.30315858196519796,272.98788691113384,3.353941047890311,2568.150353262244,1.185588299058717e-06,True
212,138.88977258813748,155.65869909971255,24.398651398823297,588.7016204740993,1.079961030875281,0.9720201179199187,0.94605938172211,65.88099578777819,7.211153890361484,34.58036827966605,0.29792145645692647,277.7867081944144,3.2130311082714806,2590.962743425153,6.280646162474694e-07,True
213,135.88647440067442,64.28592361239086,29.215064319059586,582.9194779574052,1.012016095198914,1.0239048518777747,0.9224202610079737,75.15631803552749,6.444612162808635,41.98572111696454,0.31092408063022026,266.169865395789,3.6651129819245063,3026.497004422643,1.2912546874139238e-05,True
214,135.38116931568356,118.82370413999168,22.553241234878953,595.2971460814863,1.0217737755936007,0.9703062889487543,0.9746234126418508,76.71384330486553,6.334069910458963,36.421399579968515,0.2831592136876358,292.268860376726,3.039244081588564,2783.8497753659585,3.6648636471112012e-06,True
215,144.8879698875383,22.8954939720676,24.06684617693947,599.1849753804705,1.0348743709131898,0.986806987056081,1.0140184105060372,47.254498110156725,9.659429676604598,44.198708726653756,0.32957643416745463,251.1060018557222,4.522759477480659,2797.668156443769,1.1815444846216224e-05,True
216,140.61911268747315,143.3659924792504,23.1831793573705,609.4886289513103,1.0639788587902506,1.0095459430804372,1.0151656144908667,60.52531635314309,7.76075777779718,37.48111898106535,0.3150841195915605,262.65563874477107,3.4941203907672698,2680.502727250633,5.192564171697526e-07,True
217,142.7364569679597,66.92618437111548,17.381648408139277,574.952932546855,1.1391936475582156,1.0099170681283605,0.916684604243669,53.95228490076958,8.584423978349623,36.802576514148654,0.3157231264617234,262.12403765641915,3.3807775970751086,2543.885964210519,7.616403271142787e-06,True
218,142.11560150597398,97.15681069403263,11.511457849743632,607.8923986994378,0.9562440710397606,1.0356015510030645,1.0577445339121154,55.88149882048583,8.322584610743078,43.19575035851122,0.312254534875514,265.03576872838187,3.4375996549087398,2972.7417710583068,1.1945913544013765e-06,True
219,143.11524127882137,25.17853017066886,14.572289803139245,619.12701370762,1.1140788731344202,1.005462606013844,1.0007506591603559,52.774501805450846,8.753687657661278,37.492359220802356,0.3089110703604976,267.9043538099049,3.346584761065557,2594.0167879343417,1.4405435928868595e-05,True
220,135.71962791030012,141.96806147183275,24.90615154437868,603.2418640370236,1.147801354769717,1.0075702964652478,1.092200473141457,75.67069064672474,6.40760233309511,32.67039805125729,0.2931905313178415,282.2690771003732,2.9324352115659966,2592.020250200079,2.641040959705032e-06,True
221,141.62843314948256,148.13052691234387,15.727902418502365,611.2552351384488,1.0731732578393187,1.0286175920042608,0.9388964562264183,57.39421875198676,8.12958573504378,36.865775365138795,0.3151966966633657,262.56182747385355,3.195582027296868,2641.720489771167,2.0175113214161268e-07,True
222,134.8804392086056,147.47077990285055,21.666282757620145,575.043540119686,1.1411720018081963,1.0284497693773558,0.9112899874735062,78.25643630440447,6.228924579397392,32.07696468989137,0.29592965974533114,279.65639118726705,2.721958720313955,2570.5920011182284,2.0555248232622715e-06,True
223,134.9443920355228,55.71860980931401,18.715932748477613,583.1817449684673,1.0456904605559536,1.000038042235421,0.9118244954257382,78.0594632209361,6.242119102586879,37.67803907046181,0.2861051236590481,289.2594848747929,2.9703713267209197,2849.4481588233457,1.723775938190215e-05,True
224,138.72139576373274,142.75796406917715,22.42540451774574,601.7464583766011,1.0356866140522543,1.037044189065193,1.0359062480782049,66.40185584169505,7.162433234753117,38.86361424999587,0.31555127589441523,262.2667915224863,3.390762584057434,2830.0078464025846,6.671001086263353e-07,True
225,139.6890343883888,65.34913403132867,21.485195245884178,608.7438757564496,1.1398430028401143,0.9808866472506244,0.9250291686739519,63.4071177808244,7.453486889320438,35.9541593394599,0.2999296272692328,275.9267947056348,3.2627063909880785,2586.1043768101085,1.267726776359805e-05,True
226,137.55792844670322,49.25238302963227,25.827560134731712,612.1225976819842,1.0853021629133004,0.9863561099518741,1.0329516227580087,69.99814735385606,6.845826193364319,37.722855635805715,0.29749809276155575,278.18202100537866,3.4098212382355313,2752.053918649726,1.0820789105727608e-06,True
227,134.12014347305794,168.03518504881166,22.935550250796137,600.1612405325392,1.0449758489613847,0.961966610020191,0.9236589345747293,80.59711894109925,6.0770673773983175,32.66104204189586,0.27606538198686537,299.7790599242634,2.752606447240211,2652.8751300750573,1.056408015236843e-06,True
228,140.25204879123152,136.28874904255434,22.093642947210228,584.2640043769877,1.1486094279218853,1.0038811901608642,1.0497621015556744,61.663038506649514,7.636017510619765,34.133446764399835,0.3074034075379127,269.2182931623762,3.220921512537178,2522.816990982307,1.099192225699573e-06,True
229,149.0167539230569,103.63884907801896,14.214652718208878,584.4149350062065,1.0164019600566707,1.0123299814180902,1.0622288306422774,34.34486472705813,12.91435769335748,44.13169349118544,0.342222302008991,241.82708199853354,4.450325591451189,2669.294623339719,8.692854902074534e-06,True
230,147.01612772357151,46.77635685815281,23.68406355025296,587.40396775541,1.014490209163679,0.9781993676372094,0.9241602190976972,40.60988814758756,11.076289838598225,45.65965692241603,0.33955567439007683,243.72621909001947,4.952730943681812,2755.4513094346503,6.734366165991092e-06,True
231,138.96211816886796,78.55603529913927,11.456057900317672,619.4188274472499,1.0784949201696206,0.9890062045641016,1.0977812591528844,65.65716870041565,7.232327884183597,34.38589949711889,0.2806542803405761,294.87745773635436,2.78230404292196,2617.126835511594,7.304560348798079e-06,True
232,136.43321950920387,104.52118284486727,26.618459334251085,586.9793397350834,1.0047453640942814,0.9978226765662641,0.9821447362224629,73.47009611983465,6.5695721783284355,39.691930481866095,0.30089552576412204,275.041047817146,3.453498793183175,2910.0030371440116,4.987379159378268e-06,True
233,149.00080641882042,120.25783104887554,20.763554778808366,598.8835128003216,0.9518036267602354,1.0250519313154278,0.931515022769335,34.39487830533744,12.897033030776774,50.08191805354148,0.365080612570842,226.6858820765134,5.408682756093076,2873.6501743363065,1.1102486681643254e-07,True
234,139.45801158559175,47.84242825668754,26.90581493271378,610.328608000319,1.1279558500456532,1.0288124002134242,1.061125086509946,64.12242420231519,7.381496151752988,39.01236650339396,0.3195967733175873,258.9469844472331,3.699323020599449,2754.4889707163293,1.718656301955796e-05,True
235,134.90326887019344,149.2900364255455,12.940825630946625,585.3459179155635,1.1311589952361505,0.9899400001219307,1.089499674880617,78.18612305071152,6.2336269829205095,29.843788035476265,0.2679562159688623,308.85128150664764,2.3894472587049207,2512.3471302021653,1.947038556116328e-06,True
236,144.5925744020189,164.73977911857557,13.778656912071881,607.2587897633296,0.975133777729836,0.9840648493492662,0.9607556731990597,48.17523456443015,9.493928612654328,39.56933537327819,0.3113858962302191,265.77510957165725,3.5080386293646835,2705.2161396601814,3.5234155565138874e-06,True
237,134.19907886299308,104.88648809034743,16.100149758964243,602.0675850758754,0.9939544794859627,0.9914495086608798,0.9766797656382076,80.35419057509232,6.0924164671380225,37.19378907630641,0.27726905768915,298.4776641843568,2.826916330724735,2893.668360793679,6.258834918004497e-06,True
238,141.88595221944618,124.10922567516043,18.232801011416317,610.1818693518203,1.0693336578088566,0.9856371069336826,1.0698509137040253,56.5947068021037,8.23030520714592,36.65236002237244,0.3040159009830451,272.21806629867893,3.3408708176209014,2604.1379278696104,7.54943378512418e-07,True
239,139.59730557990565,61.72066108998421,20.902354415557824,582.3269635116856,1.0891153453768383,0.9727972478807809,1.024311222189851,63.6911578131289,7.424706620795605,36.88836586028508,0.2949787672590185,280.5578905175418,3.30122291855089,2653.4949476599236,1.2952013123908868e-05,True
240,149.58498947525496,35.77823926937279,26.117286617511976,580.1515713727127,0.9604406731138408,0.9949689227186944,1.0550597787940406,32.56201447925431,13.56669803242216,50.99034044861983,0.36355902342630547,227.63462149752033,6.3546329861854645,2855.4621590864645,3.876268650489598e-06,True
241,132.70848097209162,144.28291574660028,14.88332925139888,603.9123055251404,1.0977244690649441,0.9963255341096654,0.981338962944334,84.93831516560192,5.8175785273153435,31.21330982703793,0.2691121330816402,307.5246728639648,2.4149503024412766,2626.6683499033056,3.5890686801939773e-06,True
242,145.01760027994538,169.62601876068672,12.046795231191897,603.3898135504602,1.0591947499249046,0.994128264395267,1.0421772259277715,46.85032711832529,9.73413332322479,36.15546480434624,0.3097411471628571,267.18639563293783,3.275691285887849,2549.328351877493,3.4240188532730998e-06,True
