d_mm,overlap_deg,ign_btdc_deg,eoi_deg,lambda,power_kW,eta_b,BSFC_g_kWh,pmax_MPa,Tmax_K,emission_proxy,reliability_proxy,robust_score,recommended
148.31558990940502,78.32700592435688,22.87568284535729,588.3881996882197,0.9880585253978117,47.19258302889676,0.3500234224660217,236.43737926620872,5.279570612636138,2813.1103989285607,0.35738524883294437,0.4552652130417666,0.7023697500245656,0
149.3236573638778,74.49384468571547,28.545458268910203,600.8265602270676,0.9935582531730132,47.185816544299705,0.35212351194106545,235.02725005056294,5.424950271252153,2802.2617657986057,0.26742967795498085,0.5064155611738442,0.7226746849149195,0
147.88014054066036,68.11996006191123,27.889715652693347,605.9523055584368,0.9552615081403778,47.18560338285024,0.34353556737461205,240.90262711985844,4.967155627433023,2865.2464433862547,0.547707122653072,0.4195929467390633,0.6598415173238541,0
149.06594330703103,22.205381378879387,26.94983619903243,594.3761189289573,0.9916180692963819,47.17616134784341,0.3488097585018756,237.26004984808978,5.267536062573856,2813.6581374806474,0.1845076608894096,0.5541185433611623,0.730408931765495,0
147.0142823364761,37.69136865478126,25.54293038609986,583.9929669374676,0.9708117952715738,47.17435179186573,0.34233110550518625,241.75022181383804,4.930257493642394,2857.909577923967,0.44100643526001915,0.43359092533584925,0.6840455114092255,0
147.37592991076113,72.5366490739284,26.769325477979542,586.6230146448476,0.9818775853376754,47.16372215033253,0.34897363608220827,237.1486328272649,5.2192283092775655,2823.18611350162,0.40355490418418527,0.4276522543929123,0.7024839772922188,0
146.97202080081698,44.03817893104781,25.25542565474275,610.3804533295674,0.9604834953136167,47.15166617191793,0.341039008165763,242.66614289890882,4.905539005705166,2871.317070718231,0.4655252061160623,0.4200823203398143,0.666178717254186,0
147.45231835049648,48.24159187997107,26.382404175564808,590.8056501768071,0.9749377729987297,47.13563228269184,0.34452720517589375,240.20924747409677,5.0141751455308246,2844.3840109761554,0.38684448220852785,0.43504064514091345,0.6969276809339615,0
147.64093325580376,42.206194471733,25.060602856569837,587.389860031301,0.9868987344164611,47.11592556310168,0.3471589726018886,238.38825212955177,5.126037823842584,2826.7735305407036,0.3045461686486999,0.45936053729498466,0.7136811395618357,0
147.1716874200474,71.60758292849887,25.302685767744443,589.2999260061326,0.954881324402524,47.09924718683923,0.3421754125564906,241.86022038036512,4.914259606452791,2866.470263135814,0.5920534051413839,0.3945698793622159,0.6384970680684139,0
149.06453786790314,72.41052603817937,28.43059247222334,618.3011693562482,0.99170985231851,47.09805822996812,0.3519765882233559,235.1253562272117,5.392917274270271,2803.718179369345,0.2767507233783622,0.49476674309275864,0.7220178805326855,0
148.59394829451622,82.59905487678579,28.806758574402938,603.1125235863285,0.9925265302826374,47.09576944759662,0.3518769035008576,235.19196590137517,5.375275123036655,2806.0815142517276,0.2923045233743809,0.47157798363075965,0.7159652999378898,0
147.61961033122833,74.53447187204272,25.65008696573649,584.1701501398136,0.9667099768357945,47.07131161328133,0.3448595060884612,239.9777858187457,5.024741884160844,2843.3182873728338,0.536408960950991,0.4136568445101955,0.6714106490561333,0
147.66824805885992,82.26602385890382,28.00364307717344,614.173359357626,0.9874575283731759,47.05729822475723,0.3521179162300674,235.03098500555197,5.298481960719889,2812.2189552503305,0.3294581144705157,0.43753219449963215,0.6993388803672415,0
149.67150340016826,132.83400190562634,28.840676114773423,580.6509334101291,0.9604924700753339,47.05623723183302,0.35605755540224776,232.4304580369332,5.455936266419924,2818.2858268084024,0.7077767889581873,0.5389755373337484,0.625331677541342,0
149.26272378850257,76.70324370967958,29.385178389731436,617.9091933464736,0.9928989441180192,47.052447479652336,0.35221265327563606,234.9677671145153,5.4011677713928705,2800.3773418188794,0.2757554262711949,0.5003612432076306,0.7207995275028277,0
147.22767972448924,42.974827198892214,20.690720594285278,581.2957488788658,0.970578564311953,47.04652494612725,0.34114846266928966,242.58828558720967,4.831249553138241,2855.610827618231,0.4684456975941256,0.42065673194312075,0.6694304728261636,0
148.19882491191282,41.25652559432224,28.13982648036039,616.6706707167455,0.989135646138477,47.04642473460568,0.3481524108249129,237.70802130471182,5.193380965082053,2821.0993471009515,0.23911490289718904,0.4825208658456181,0.7180499999566698,0
147.37157283506343,78.38465487101945,28.982801217388378,587.5406081748438,0.9532919119377561,47.042071155826626,0.3431166378667915,241.19675805923652,4.957958411717479,2865.0506556458895,0.6266986441833797,0.39919254892080214,0.6329131551990866,0
147.06257070787433,47.42159323898154,23.41466862400621,585.9457551435025,0.9646642274395438,47.03784945790823,0.34163176434969267,242.24509933140712,4.880661624510394,2857.4255613648857,0.49158417877012067,0.4147845823359397,0.6716194386765908,0
146.73834085939237,47.708419681530515,26.65754222879954,579.7382644148382,0.9709533911586534,47.037665446415296,0.34179445540631187,242.12979286417905,4.925543854506582,2856.2181033283823,0.48488295199342624,0.4115746247795146,0.6751570616104323,0
147.5541223250715,72.33847202981823,25.793088918597448,601.8976808038348,0.9890777551666602,47.03106498134558,0.3491590871321979,237.022674590512,5.222402891578963,2816.8284912099452,0.3000318415081206,0.43242828523855054,0.7128849756357845,0
146.77007961104258,31.07526703082786,29.027106126401577,586.4766283938252,0.98716419403716,47.02066967492108,0.34585977891598807,239.28373790396094,5.099369892634787,2836.73800313722,0.2898399318883262,0.45631589049793086,0.7030000385953048,0
