eccentric_shaft_angle_deg,gas_torque_chamber_A_Nm,gas_torque_chamber_B_Nm,gas_torque_chamber_C_Nm,gas_torque_total_Nm,mean_mechanical_loss_torque_Nm,conditional_shaft_torque_Nm
162.0,98.39605427137992,-2.9876756489175715,-12.307303759292784,83.10107486316957,4.098595965841337,79.00247889732823
163.0,96.54329752602098,-2.8229895664972413,-12.518071899049817,81.20223606047392,4.098595965841337,77.10364009463258
164.0,94.6908386702794,-2.657452160472338,-12.730639600362496,79.30274690944458,4.098595965841337,75.20415094360324
165.0,92.84046116311532,-2.491407897306938,-12.945043234409447,77.40401003139894,4.098595965841337,73.3054140655576
166.0,90.9938681669707,-2.3251305346606825,-13.161319735980804,75.5074178963292,4.098595965841337,71.40882193048786
167.0,89.15268319481372,-2.158752663566886,-13.379506615802118,73.61442391544472,4.098595965841337,69.51582794960338
168.0,87.31845093833527,-1.9923054240005331,-13.599641973042843,71.72650354129189,4.098595965841337,67.62790757545055
169.0,85.49263826139834,-1.8257942605116946,-13.821764508010501,69.84507949287614,4.098595965841337,65.7464835270348
170.0,83.67663534341443,-1.6592368222800125,-14.045913535029369,67.97148498610505,4.098595965841337,63.87288902026371
171.0,81.87175695792206,-1.4926657087231152,-14.272128995503785,66.10696225369517,4.098595965841337,62.00836628785383
172.0,80.07924387226703,-1.3261218025764743,-14.500451471165018,64.25267059852553,4.098595965841337,60.154074632684186
173.0,78.3002643549208,-1.1596492340036264,-14.730922197500501,62.40969292341667,4.098595965841337,58.31109695757533
174.0,76.5359157776223,-0.9932928792795559,-14.963583077363412,60.57903982097933,4.098595965841337,56.48044385513799
175.0,74.78722630018126,-0.8270972251572148,-15.198476694761052,58.76165238026299,4.098595965841337,54.663056414421646
176.0,73.05515662643484,-0.6611057932499195,-15.435646328818294,56.95840450436663,4.098595965841337,52.859808538525286
177.0,71.34060182050165,-0.4953607710756726,-15.675135967913507,55.170105081512474,4.098595965841337,51.071509115671134
