theta_deg,mass_kg,fresh_mass_kg,internal_energy_J,work_J,wall_heat_J,pressure_Pa,temperature_K,volume_m3,dV_ddeg_m3,mfuel_per_cycle_kg,p_in_effective_Pa
873.0,0.0004457766413660623,0.00042531428917335376,114.19295337647631,596.1881400694724,47.104673649192584,114887.44645304835,356.7775782616492,0.0003973051376603989,-1.592940127279401e-06,2.9326056611725016e-05,101325.0
874.0,0.00044577653828383823,0.0004253141908228823,114.38897122224579,596.0034219139549,47.093336965871714,115550.92485003707,357.39008724362105,0.0003957019411576087,-1.6134167032878716e-06,2.9326056611725016e-05,101325.0
875.0,0.00044577643285801066,0.00042531409023638503,114.58842007353557,595.8152677838084,47.08200434514833,116229.28817016102,358.0133180228031,0.0003940783770644167,-1.6336748485015303e-06,2.9326056611725016e-05,101325.0
876.0,0.0004457763250987445,0.00042531398742356037,114.79132612059166,595.6236512981344,47.07067597725941,116922.78796727263,358.64735243573745,0.0003924346651854126,-1.6537118202917891e-06,2.9326056611725016e-05,101325.0
877.0,0.00044577621501525885,0.0004253138823932041,114.99771610447274,595.428545516609,47.05935206064771,117631.68288302152,359.2922740410164,0.00039077102805287284,-1.673524905973413e-06,2.9326056611725016e-05,101325.0
878.0,0.000445776102615901,0.00042531377515328046,115.20761732496648,595.2299229313461,47.048032802206265,118356.23883540637,359.94816814396677,0.00038908769089663416,-1.6931114231717617e-06,2.9326056611725016e-05,101325.0
879.0,0.00044577598790821284,0.00042531366571098506,115.42105764868423,595.0277554585725,47.03671841753005,119096.72921375243,360.61512182189773,0.0003873848816136022,-1.7124687201859296e-06,2.9326056611725016e-05,101325.0
880.0,0.00044577587089898935,0.00042531355407280107,115.6380655173374,594.8220144301113,47.02540913117495,119853.43508033759,361.2932239499223,0.00038566283073689545,-1.7315941763477726e-06,2.9326056611725016e-05,101325.0
881.0,0.0004457757515943314,0.0004253134402445493,115.85866995619847,594.6126705846705,47.01410517692435,120626.64537889349,361.9825652273608,0.00038392177140463674,-1.7504852023766767e-06,2.9326056611725016e-05,101325.0
882.0,0.0004457756299996929,0.0004253133242314332,116.08290058275004,594.3996940589345,47.00280679806346,121416.65715022378,362.6832382047354,0.00038216193932839046,-1.7691392407301083e-06,2.9326056611725016e-05,101325.0
883.0,0.00044577550611992313,0.0004253132060380795,116.31078761552469,594.1830543784549,46.99151424766183,122223.7757551867,363.3953373113658,0.00038038357276124835,-1.7875537659498875e-06,2.9326056611725016e-05,101325.0
884.0,0.00044577537995930494,0.00042531308566857453,116.54236188313898,593.9627204483365,46.98022778886422,123048.31510529833,364.11895888357384,0.0003785869124655764,-1.8057262850040707e-06,2.9326056611725016e-05,101325.0
885.0,0.0004457752515215893,0.000425312963126497,116.77765483352455,593.7386605437177,46.96894769519007,123890.59790122666,364.85420119350783,0.000376772201680419,-1.8236543376244692e-06,2.9326056611725016e-05,101325.0
886.0,0.00044577512081002657,0.00042531283841494815,117.01669854335935,593.5108423000391,46.95767425084196,124750.9558794534,365.6011644785941,0.00037493968608856755,-1.8413354966397418e-06,2.9326056611725016e-05,101325.0
887.0,0.0004457749878273948,0.0004253127115365785,117.25952572770215,593.2792327031,46.94640775102333,125629.73006739361,366.35995097162686,0.0003730896137832982,-1.8587673683039983e-06,2.9326056611725016e-05,101325.0
888.0,0.00044577485257602553,0.00042531258249361244,117.50616974983318,593.0437980788968,46.93514850226568,126527.27104727206,367.1306649315038,0.00037122223523478694,-1.8759475926208478e-06,2.9326056611725016e-05,101325.0
889.0,0.0004457747150578271,0.00042531245128787085,117.75666463130405,592.804504083243,46.92389682276574,127443.93922907126,367.913412674618,0.00036933780325619687,-1.8928738436629333e-06,2.9326056611725016e-05,101325.0
890.0,0.00044577457527430624,0.00042531231792079127,118.01104506219987,592.5613156911649,46.912653042732764,128380.10513287329,368.7083026069137,0.0003674365729694527,-1.9095438298868115e-06,2.9326056611725016e-05,101325.0
891.0,0.0004457744332265875,0.0004253121823934466,118.26934641161651,592.3141971860707,46.90141750474646,129336.14968093396,369.5154452566177,0.0003655188017707013,-1.9259552944431927e-06,2.9326056611725016e-05,101325.0
892.0,0.0004457742889154311,0.00042531204470656214,118.53160473835594,592.0631121486917,46.890190564125795,130312.46449983919,370.3349533076517,0.0003635847492954643,-1.9421060154824826e-06,2.9326056611725016e-05,101325.0
893.0,0.0004457741423412493,0.0004253119048605313,118.7978568018425,591.8080234457888,46.87897258930907,131309.4522331084,371.16694163373785,0.00036163467738348703,-1.957993806455588e-06,2.9326056611725016e-05,101325.0
894.0,0.00044577399350412153,0.00042531176285542975,119.068140073263,591.5488932186236,46.867763962245704,132327.5268646222,372.0115273332039,0.0003596688500432915,-1.9736165164099286e-06,2.9326056611725016e-05,101325.0
895.0,0.000445773842403808,0.00042531161869102885,119.3424927469333,591.2856828711912,46.85656507880002,133367.1140532701,372.86882976449795,0.0003576875334164307,-1.9889720302806643e-06,2.9326056611725016e-05,101325.0
896.0,0.00044577368903976253,0.0004253114723668074,119.62095375189433,591.01835305821,46.84537634916756,134428.65147922398,373.7389705824206,0.00035569099574145975,-2.0040582691770207e-06,2.9326056611725016e-05,101325.0
897.0,0.0004457735334111441,0.000425311323881963,119.90356276373981,590.7468636728663,46.834198198304264,135512.58920226377,374.62207377508287,0.00035367950731762104,-2.01887319066374e-06,2.9326056611725016e-05,101325.0
898.0,0.0004457733755168276,0.00042531117323542226,120.19036021667868,590.4711738343112,46.82303106636898,136619.39003259773,375.5182657015974,0.0003516533404682481,-2.033414789037604e-06,2.9326056611725016e-05,101325.0
899.0,0.0004457732153554138,0.0004253110204258501,120.48138731583438,590.1912418749059,46.81187540917978,137749.5299146347,376.4276751305118,0.00034961276950389746,-2.047681095598973e-06,2.9326056611725016e-05,101325.0
900.0,0.00044577305292523836,0.00042531086545165856,120.77668604978344,589.9070253272133,46.80073169868447,138903.498324184,377.3504332789893,0.0003475580706852143,-2.0616701789183007e-06,2.9326056611725016e-05,101325.0
901.0,0.0004457728882243803,0.0004253107083110149,121.07629920333575,589.6184809107332,46.78960042344597,140081.79867958254,378.28667385274736,0.0003454895221855278,-2.0753801450976374e-06,2.9326056611725016e-05,101325.0
902.0,0.00044577272125066985,0.0004253105490018489,121.3802703705584,589.3255645183777,46.77848208914278,141284.94876726018,379.2365330867554,0.00034340740405319173,-2.0888091380270302e-06,2.9326056611725016e-05,101325.0
903.0,0.0004457725520016955,0.0004253103875218597,121.68864396804526,589.028231202686,46.767377219085326,142513.4811822791,380.20014978670366,0.0003413119981736724,-2.1019553396357955e-06,2.9326056611725016e-05,101325.0
904.0,0.00044577238047481055,0.00042531022386852217,122.0014652484339,588.7264351617738,46.75628635474859,143767.94378440583,381.1776653712443,0.0003392035882313835,-2.1148169701386754e-06,2.9326056611725016e-05,101325.0
905.0,0.0004457722066671395,0.00042531005803909277,122.3187803141717,588.4201297250177,46.74521005632154,145048.90017029102,382.16922391501214,0.0003370824596712804,-2.1273922882767855e-06,2.9326056611725016e-05,101325.0
